0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
195,130,46,13100,8654,11814,5711,13020,13006,12943,1272,13089,6147,12611,12397,12041,13023,8578,13055,1565,5552
196,11822,14502,8483,989,4197,8393,14011,17091,14680,10815,7056,16569,1077,7233,13563,11590,908,11648,8914,3699
197,7748,15003,4672,14965,10142,10651,14932,14843,14782,14870,14921,14485,5722,15019,7728,9145,14827,6051,8624,14875
198,10329,9940,5229,7751,11002,14918,7723,9426,8920,8503,9718,14400,8872,8985,8913,11750,13266,3497,4265,6154
199,11648,14502,1077,11999,10857,11607,6199,6645,6513,9434,9384,11262,9239,6603,6558,8483,10660,3369,8596,6326
200,13573,6101,13266,13416,1151,377,14817,10329,14680,7056,10815,14351,9940,6175,8373,12750,10742,11721,14694,3968
201,9660,7610,9630,14300,14081,14066,15320,4287,5137,14308,13637,14118,13822,10939,9603,14018,10921,9547,11971,18445
202,14462,1443,2244,3184,994,4481,1320,2187,323,2961,1138,6105,5006,368,1274,573,5551,3201,3615,6093
203,7434,10846,13058,9687,7302,12691,12813,12244,8382,12808,8552,14462,6989,8626,8497,17944,12251,4037,96,8452
204,14965,10142,14932,10651,4672,15003,14843,14898,14769,14527,7736,4762,3139,5622,15060,13594,14846,14862,14462,14875
205,7302,13058,12016,870,6621,8626,11986,5675,12691,10993,16756,7434,13031,13134,8064,7555,16083,1505,6,15879
206,15003,4672,14932,10142,14965,10651,14843,11481,8503,11541,1077,10878,11648,221,10857,4762,7736,14875,14862,10823
207,3184,5598,2587,3615,6105,6093,3201,5637,2310,1762,2501,4921,736,3320,4194,5803,4008,1877,4941,5300
208,8654,13100,7335,13028,6166,12553,5711,5552,12611,6147,12943,12397,8578,13055,13158,13023,1565,10749,13006,1272
209,7555,13058,17903,8626,1505,18080,18126,16750,15932,3601,9225,6084,12691,7302,17979,17829,17999,15858,18046,17824
210,7302,13058,7555,8626,12691,13031,7434,1505,8064,3407,12225,12051,12808,8552,18126,10944,18080,15932,6989,16750
211,9660,10194,14300,7610,14066,9630,14081,13170,10921,1178,18445,10509,14308,5137,13059,9914,123,13845,13447,12251
212,8012,11831,9434,6645,9239,9384,11607,11262,6513,6199,363,11995,8526,9671,1373,11755,11904,11967,11562,10857
213,3184,6105,3320,3615,6093,5211,5598,4386,1443,1885,4481,1723,2753,3412,776,38,25,5752,2084,5508
214,6101,13266,76,6175,8373,1170,36,10340,13573,2917,1338,3980,12114,9940,14351,10329,12750,18177,14874,9677
215,10857,11262,11607,9239,6199,9384,6645,9434,6513,6524,10329,9940,12008,10085,424,10901,11999,11562,18898,11831
216,6101,6175,14351,3980,9677,10340,13573,8613,1097,2462,2004,5638,7573,13981,9557,13416,14087,13266,11708,2269
